n,selectsort,mergesort,quicksort
1,2229,748,93
2,538,612,4953
3,1166,611,2910
4,988,1054,2784
5,1312,1368,3418
6,1796,1943,6170
7,2197,1770439,6234
8,2571,2353,6830
9,2900,2989,7636
10,3201,3497,8887
11,3501,3673,9777
12,14495,3655,15257
13,3842,3997,12692
14,5217,3816,13744
15,4412,3537,13369
16,4841,3562,13869
17,5806,4244,22001
18,23670,4868,16494
19,5965,4845,16301
20,7622,5432,21639
21,7820,5916,18675
22,8769,5960,25806
23,11160,6154,14956
24,10451,6280,16352
25,11222,6867,19579
26,13273,7795,18733
27,12099,6725,21881
28,14553,7078,20555
29,16605,7230,19067
30,14755,8900,22769
31,18029,6911,35805
32,17102,7458,31557
33,20442,7858,44081
34,18552,6887,16764
35,24690,11244,15227
36,38662,9261,11167
37,18812,11886,11671
38,18133,9112,14291
39,32817,8558,11988
40,34304,7823,10918
41,24147,11087,10260
42,29362,29801,9892
43,26476,15873,12860
44,38661,12297,13105
45,35925,13821,15818
46,31819,22270,15318
47,34357,16740,14699
48,37715,14630,15222
49,37676,14622,14923
50,29658,19444,14097
51,37766,14396,13434
52,32544,11210,12572
53,26851,10340,11924
54,33100,3733,12281
55,39137,3592,14377
56,28670,3577,12484
57,47345,4211,13433
58,31100,3556,13099
59,32310,3529,29937
60,58634,5884,19932
61,44646,4157,14497
62,62859,5231,20219
63,51071,4890,17017
64,63022,5589,21256
65,70485,6177,20731
66,64313,5583,20452
67,71977,6726,23083
68,78158,6633,26003
69,90855,6448,48866
70,61869,5538,21699
71,101658,8343,24359
72,91716,7045,23493
73,76887,8333,22772
74,47242,7422,24615
75,57202,6962,55020
76,25431,7850,25658
77,27464,7869,26683
78,27458,8137,28594
79,23878,7784,25497
80,30177,8655,27649
81,24463,6506,21541
82,33267,6997,24309
83,24484,8145,25350
84,24878,8911,28872
85,48103,9146,26453
86,30402,9640,35685
87,24842,7616,27859
88,33225,8997,29850
89,26030,32455,21885
90,23736,6849,21605
91,34369,9366,30960
92,35785,9487,28933
93,27869,8481,24684
94,37357,10168,35002
95,37038,9214,22271
96,31639,9914,23054
97,47452,10700,24739
98,133169,10463,24286
99,30358,9885,24345
100,60564,7810,19787
101,23498,7483,19802
102,71090,7702,28032
103,53597,16307,26605
104,95607,11260,27342
105,46523,11264,26780
106,87949,10771,26149
107,49003,11207,27161
108,96555,11579,27815
109,27348,8066,21727
110,58396,8506,21483
111,44835,9675,25812
112,90874,11029,29859
113,50645,11098,29461
114,10705,7791,22046
115,13112,8871,25416
116,16786,13869,28923
117,16697,10438,29653
118,17513,11111,29606
119,13033,9541,27098
120,17465,11332,30270
121,17423,11327,30318
122,11916,8409,25899
123,13329,9567,24572
124,14697,11430,29447
125,14833,10056,28556
126,18801,12475,32164
127,20506,13496,32096
128,20668,12458,32661
129,20285,12240,32773
130,20433,12376,34331
131,19056,12029,31843
132,13204,8913,25974
133,21072,13021,49213
134,20110,12135,35850
135,22433,13988,35736
136,20841,13075,34392
137,21583,17442,34787
138,23499,13759,37643
139,21096,13998,35626
140,24022,13991,36510
141,19970,15967,37234
142,25096,14182,36431
143,24627,14507,37439
144,24948,14989,37312
145,17533,11208,30621
146,25098,17306,36092
147,24967,14700,36295
148,23377,15530,39119
149,27577,16761,39820
150,20965,14156,36806
151,16798,20078,30763
152,16915,8669,31697
153,23155,11122,38142
154,26537,12310,39219
155,26763,12279,41927
156,26238,12128,40440
157,27737,12243,39819
158,28155,12650,40681
159,27533,12275,41809
160,29768,12274,39294
161,24997,11715,39282
162,18141,10071,34175
163,27351,10452,33441
164,31101,14386,43750
165,29770,13434,46213
166,31274,13164,43643
167,29969,13108,53890
168,26437,13300,44880
169,30150,13963,42160
170,27734,13843,41660
171,26957,13201,43215
172,25718,11314,38207
173,20978,11427,35513
174,28771,13596,44797
175,21019,10897,34964
176,30828,13891,43333
177,31082,14106,46186
178,34380,14669,45339
179,26620,13913,43118
180,27686,13993,45886
181,22191,12429,37316
182,31554,14879,50857
183,29151,15051,48344
184,25518,13955,42109
185,34294,15685,69418
186,32764,15832,47884
187,32831,14725,42298
188,33692,15463,47670
189,28869,16148,46483
190,49819,14615,43922
191,34200,14736,47732
192,37697,15597,47393
193,36026,16005,46954
194,40208,15127,49127
195,40904,16061,49584
196,36964,15499,49849
197,41434,15434,48678
198,38242,16443,48100
199,66603,17394,66089
200,31129,16511,47718
201,36716,15250,45298
202,41626,15839,71074
203,40981,15278,44876
204,42979,15651,46057
205,43809,16517,47755
206,42875,16769,46884
207,45768,16501,49395
208,46410,16357,49256
209,40594,15528,49049
210,43508,16350,48778
211,45361,16525,49697
212,48443,17436,99326
213,49790,17312,53000
214,45784,16977,46590
215,45485,16635,50290
216,67731,17650,52444
217,44467,17403,60550
218,38686,16130,49376
219,36444,15377,48614
220,50032,17071,51876
221,49387,16666,53340
222,49655,16267,49014
223,50166,16830,53050
224,54150,16916,52296
225,50447,16245,52280
226,48451,16250,52247
227,45409,16743,53499
228,49405,16402,52038
229,47069,16080,52473
230,53937,17299,54948
231,55023,17211,56280
232,47951,16289,48615
233,31639,12624,43926
234,30796,11894,41038
235,51364,12616,43005
236,31847,11954,41278
237,31477,11886,41486
238,32503,11821,41483
239,33549,12502,63900
240,32147,12603,42703
241,32742,12818,43062
242,33014,12788,43638
243,33325,12762,48019
244,33705,12701,43611
245,46851,20894,45826
246,31875,11915,41551
247,32352,11417,58274
248,34107,11558,42167
249,55191,12096,42672
250,49079,11428,42138
251,41786,12274,47079
252,38856,11922,43864
253,46692,11674,44256
254,34764,11998,43384
255,33227,11858,42714
256,48296,14614,43645
257,35808,12476,45244
